,Category
0,GlobalOffensive
1,GlobalOffensive
2,GlobalOffensive
3,GlobalOffensive
4,GlobalOffensive
5,GlobalOffensive
6,GlobalOffensive
7,GlobalOffensive
8,GlobalOffensive
9,GlobalOffensive
10,GlobalOffensive
11,GlobalOffensive
12,GlobalOffensive
13,GlobalOffensive
14,GlobalOffensive
15,GlobalOffensive
16,GlobalOffensive
17,GlobalOffensive
18,GlobalOffensive
19,GlobalOffensive
20,GlobalOffensive
21,GlobalOffensive
22,GlobalOffensive
23,GlobalOffensive
24,GlobalOffensive
25,GlobalOffensive
26,GlobalOffensive
27,GlobalOffensive
28,GlobalOffensive
29,GlobalOffensive
30,GlobalOffensive
31,GlobalOffensive
32,GlobalOffensive
33,GlobalOffensive
34,GlobalOffensive
35,GlobalOffensive
36,GlobalOffensive
37,GlobalOffensive
38,GlobalOffensive
39,GlobalOffensive
40,GlobalOffensive
41,GlobalOffensive
42,GlobalOffensive
43,GlobalOffensive
44,GlobalOffensive
45,GlobalOffensive
46,GlobalOffensive
47,GlobalOffensive
48,GlobalOffensive
49,GlobalOffensive
50,GlobalOffensive
51,GlobalOffensive
52,GlobalOffensive
53,GlobalOffensive
54,GlobalOffensive
55,GlobalOffensive
56,GlobalOffensive
57,GlobalOffensive
58,GlobalOffensive
59,GlobalOffensive
60,GlobalOffensive
61,GlobalOffensive
62,GlobalOffensive
63,GlobalOffensive
64,GlobalOffensive
65,GlobalOffensive
66,GlobalOffensive
67,GlobalOffensive
68,GlobalOffensive
69,GlobalOffensive
70,GlobalOffensive
71,GlobalOffensive
72,GlobalOffensive
73,GlobalOffensive
74,GlobalOffensive
75,GlobalOffensive
76,GlobalOffensive
77,GlobalOffensive
78,GlobalOffensive
79,GlobalOffensive
80,GlobalOffensive
81,GlobalOffensive
82,GlobalOffensive
83,GlobalOffensive
84,GlobalOffensive
85,GlobalOffensive
86,GlobalOffensive
87,GlobalOffensive
88,GlobalOffensive
89,GlobalOffensive
90,GlobalOffensive
91,GlobalOffensive
92,GlobalOffensive
93,GlobalOffensive
94,GlobalOffensive
95,GlobalOffensive
96,GlobalOffensive
97,GlobalOffensive
98,GlobalOffensive
99,GlobalOffensive
100,GlobalOffensive
101,GlobalOffensive
102,GlobalOffensive
103,GlobalOffensive
104,GlobalOffensive
105,GlobalOffensive
106,GlobalOffensive
107,GlobalOffensive
108,GlobalOffensive
109,GlobalOffensive
110,GlobalOffensive
111,GlobalOffensive
112,GlobalOffensive
113,GlobalOffensive
114,GlobalOffensive
115,GlobalOffensive
116,GlobalOffensive
117,GlobalOffensive
118,GlobalOffensive
119,GlobalOffensive
120,GlobalOffensive
121,GlobalOffensive
122,GlobalOffensive
123,GlobalOffensive
124,GlobalOffensive
125,GlobalOffensive
126,GlobalOffensive
127,GlobalOffensive
128,GlobalOffensive
129,GlobalOffensive
130,GlobalOffensive
131,GlobalOffensive
132,GlobalOffensive
133,GlobalOffensive
134,GlobalOffensive
135,GlobalOffensive
136,GlobalOffensive
137,GlobalOffensive
138,GlobalOffensive
139,GlobalOffensive
140,GlobalOffensive
141,GlobalOffensive
142,GlobalOffensive
143,GlobalOffensive
144,GlobalOffensive
145,GlobalOffensive
146,GlobalOffensive
147,GlobalOffensive
148,GlobalOffensive
149,GlobalOffensive
150,GlobalOffensive
151,GlobalOffensive
152,GlobalOffensive
153,GlobalOffensive
154,GlobalOffensive
155,GlobalOffensive
156,GlobalOffensive
157,GlobalOffensive
158,GlobalOffensive
159,GlobalOffensive
160,GlobalOffensive
161,GlobalOffensive
162,GlobalOffensive
163,GlobalOffensive
164,GlobalOffensive
165,GlobalOffensive
166,GlobalOffensive
167,GlobalOffensive
168,GlobalOffensive
169,GlobalOffensive
170,GlobalOffensive
171,GlobalOffensive
172,GlobalOffensive
173,GlobalOffensive
174,GlobalOffensive
175,GlobalOffensive
176,GlobalOffensive
177,GlobalOffensive
178,GlobalOffensive
179,GlobalOffensive
180,GlobalOffensive
181,GlobalOffensive
182,GlobalOffensive
183,GlobalOffensive
184,GlobalOffensive
185,GlobalOffensive
186,GlobalOffensive
187,GlobalOffensive
188,GlobalOffensive
189,GlobalOffensive
190,GlobalOffensive
191,GlobalOffensive
192,GlobalOffensive
193,GlobalOffensive
194,GlobalOffensive
195,GlobalOffensive
196,GlobalOffensive
197,GlobalOffensive
198,GlobalOffensive
199,GlobalOffensive
200,GlobalOffensive
201,GlobalOffensive
202,GlobalOffensive
203,GlobalOffensive
204,GlobalOffensive
205,GlobalOffensive
206,GlobalOffensive
207,GlobalOffensive
208,GlobalOffensive
209,GlobalOffensive
210,GlobalOffensive
211,GlobalOffensive
212,GlobalOffensive
213,GlobalOffensive
214,GlobalOffensive
215,GlobalOffensive
216,GlobalOffensive
217,GlobalOffensive
218,GlobalOffensive
219,GlobalOffensive
220,GlobalOffensive
221,GlobalOffensive
222,GlobalOffensive
223,GlobalOffensive
224,GlobalOffensive
225,GlobalOffensive
226,GlobalOffensive
227,GlobalOffensive
228,GlobalOffensive
229,GlobalOffensive
230,GlobalOffensive
231,GlobalOffensive
232,GlobalOffensive
233,GlobalOffensive
234,GlobalOffensive
235,GlobalOffensive
236,GlobalOffensive
237,GlobalOffensive
238,GlobalOffensive
239,GlobalOffensive
240,GlobalOffensive
241,GlobalOffensive
242,GlobalOffensive
243,GlobalOffensive
244,GlobalOffensive
245,GlobalOffensive
246,GlobalOffensive
247,GlobalOffensive
248,GlobalOffensive
249,GlobalOffensive
250,GlobalOffensive
251,GlobalOffensive
252,GlobalOffensive
253,GlobalOffensive
254,GlobalOffensive
255,GlobalOffensive
256,GlobalOffensive
257,GlobalOffensive
258,GlobalOffensive
259,GlobalOffensive
260,GlobalOffensive
261,GlobalOffensive
262,GlobalOffensive
263,GlobalOffensive
264,GlobalOffensive
265,GlobalOffensive
266,GlobalOffensive
267,GlobalOffensive
268,GlobalOffensive
269,GlobalOffensive
270,GlobalOffensive
271,GlobalOffensive
272,GlobalOffensive
273,GlobalOffensive
274,GlobalOffensive
275,GlobalOffensive
276,GlobalOffensive
277,GlobalOffensive
278,GlobalOffensive
279,GlobalOffensive
280,GlobalOffensive
281,GlobalOffensive
282,GlobalOffensive
283,GlobalOffensive
284,GlobalOffensive
285,GlobalOffensive
286,GlobalOffensive
287,GlobalOffensive
288,GlobalOffensive
289,GlobalOffensive
290,GlobalOffensive
291,GlobalOffensive
292,GlobalOffensive
293,GlobalOffensive
294,GlobalOffensive
295,GlobalOffensive
296,GlobalOffensive
297,GlobalOffensive
298,GlobalOffensive
299,GlobalOffensive
300,GlobalOffensive
301,GlobalOffensive
302,GlobalOffensive
303,GlobalOffensive
304,GlobalOffensive
305,GlobalOffensive
306,GlobalOffensive
307,GlobalOffensive
308,GlobalOffensive
309,GlobalOffensive
310,GlobalOffensive
311,GlobalOffensive
312,GlobalOffensive
313,GlobalOffensive
314,GlobalOffensive
315,GlobalOffensive
316,GlobalOffensive
317,GlobalOffensive
318,GlobalOffensive
319,GlobalOffensive
320,GlobalOffensive
321,GlobalOffensive
322,GlobalOffensive
323,GlobalOffensive
324,GlobalOffensive
325,GlobalOffensive
326,GlobalOffensive
327,GlobalOffensive
328,GlobalOffensive
329,GlobalOffensive
330,GlobalOffensive
331,GlobalOffensive
332,GlobalOffensive
333,GlobalOffensive
334,GlobalOffensive
335,GlobalOffensive
336,GlobalOffensive
337,GlobalOffensive
338,GlobalOffensive
339,GlobalOffensive
340,GlobalOffensive
341,GlobalOffensive
342,GlobalOffensive
343,GlobalOffensive
344,GlobalOffensive
345,GlobalOffensive
346,GlobalOffensive
347,GlobalOffensive
348,GlobalOffensive
349,GlobalOffensive
350,GlobalOffensive
351,GlobalOffensive
352,GlobalOffensive
353,GlobalOffensive
354,GlobalOffensive
355,GlobalOffensive
356,GlobalOffensive
357,GlobalOffensive
358,GlobalOffensive
359,GlobalOffensive
360,GlobalOffensive
361,GlobalOffensive
362,GlobalOffensive
363,GlobalOffensive
364,GlobalOffensive
365,GlobalOffensive
366,GlobalOffensive
367,GlobalOffensive
368,GlobalOffensive
369,GlobalOffensive
370,GlobalOffensive
371,GlobalOffensive
372,GlobalOffensive
373,GlobalOffensive
374,GlobalOffensive
375,GlobalOffensive
376,GlobalOffensive
377,GlobalOffensive
378,GlobalOffensive
379,GlobalOffensive
380,GlobalOffensive
381,GlobalOffensive
382,GlobalOffensive
383,GlobalOffensive
384,GlobalOffensive
385,GlobalOffensive
386,GlobalOffensive
387,GlobalOffensive
388,GlobalOffensive
389,GlobalOffensive
390,GlobalOffensive
391,GlobalOffensive
392,GlobalOffensive
393,GlobalOffensive
394,GlobalOffensive
395,GlobalOffensive
396,GlobalOffensive
397,GlobalOffensive
398,GlobalOffensive
399,GlobalOffensive
400,GlobalOffensive
401,GlobalOffensive
